st,stf
TX,48
MI,26
OK,40
OK,40
OK,40
KS,20
MI,26
NE,31
OK,40
OK,40
OK,40
ME,23
OK,40
KS,20
KS,20
KS,20
CO,8
CO,8
NE,31
NE,31
NE,31
NE,31
NE,31
CO,8
CO,8
CO,8
NE,31
NE,31
NE,31
NE,31
NE,31
NE,31
NE,31
NE,31
NE,31
SD,46
IA,19
NE,31
MT,30
MN,27
NE,31
IA,19
IA,19
IA,19
IA,19
IA,19
KS,20
NE,31
NE,31
NE,31
MI,26
OH,39
MI,26
MI,26
MI,26
MI,26
MI,26
MI,26
MI,26
MA,25
NH,33
MA,25
NH,33
VA,51
WY,56
WY,56
OH,39
VA,51
ND,38
ND,38
IN,18
SD,46
SD,46
CO,8
FL,12
SD,46
OK,40
KS,20
KS,20
NE,31
KS,20
OK,40
TX,48
OK,40
NE,31
MN,27
WI,55
VT,50
KS,20
PA,42
KS,20
OK,40
MT,30
MT,30
KS,20
KS,20
OK,40
ND,38
IA,19
IA,19
IA,19
IA,19
MI,26
CO,8
CO,8
MD,24
NE,31
KS,20
MI,26
IL,17
MI,26
OK,40
ND,38
ME,23
OK,40
NE,31
OK,40
OK,40
UT,49
TX,48
KS,20
TX,48
WY,56
LA,22
AR,5
NE,31
NE,31
FL,12
WY,56
MN,27
NE,31
NE,31
TX,48
NE,31
MT,30
MO,29
KS,20
NE,31
KS,20
MO,29
OK,40
SD,46
NE,31
SC,45
MS,28
MS,28
FL,12
WY,56
OK,40
TX,48
TX,48
TX,48
CO,8
FL,12
CO,8
CO,8
MN,27
TX,48
TX,48
PA,42
CO,8
FL,12
MI,26
FL,12
FL,12
CO,8
CO,8
TX,48
TX,48
LA,22
FL,12
OK,40
OK,40
OK,40
OK,40
OK,40
TX,48
LA,22
LA,22
FL,12
PA,42
PA,42
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
OK,40
OK,40
LA,22
LA,22
MS,28
GA,13
LA,22
LA,22
MS,28
MS,28
AL,1
AL,1
FL,12
FL,12
FL,12
MS,28
MS,28
CO,8
AR,5
AR,5
AR,5
SC,45
TX,48
TX,48
TX,48
AR,5
AR,5
LA,22
MS,28
MS,28
FL,12
NC,37
AR,5
AL,1
VA,51
AZ,4
KS,20
KS,20
IL,17
IN,18
AL,1
GA,13
GA,13
GA,13
PA,42
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
IN,18
IN,18
OH,39
OK,40
OK,40
OK,40
KS,20
KS,20
OK,40
OK,40
TX,48
KS,20
KS,20
MO,29
MO,29
MO,29
OK,40
OK,40
AR,5
MO,29
MO,29
MO,29
MO,29
MO,29
MO,29
MO,29
MO,29
MO,29
MO,29
MO,29
AR,5
IN,18
AL,1
CO,8
CO,8
GA,13
GA,13
FL,12
MO,29
MO,29
MO,29
IA,19
IA,19
IA,19
IA,19
KS,20
KS,20
IN,18
IN,18
IN,18
IN,18
WI,55
WI,55
WI,55
IL,17
IN,18
MI,26
IN,18
MI,26
GA,13
LA,22
LA,22
AR,5
AR,5
KS,20
TX,48
TX,48
TX,48
TX,48
WI,55
TX,48
MO,29
TX,48
AL,1
FL,12
GA,13
GA,13
FL,12
PA,42
PA,42
NE,31
TX,48
TX,48
TX,48
TX,48
PA,42
KS,20
CO,8
PA,42
KS,20
WI,55
OK,40
WI,55
KS,20
IA,19
OK,40
IA,19
OK,40
PA,42
TX,48
OH,39
OK,40
TX,48
LA,22
AR,5
ID,16
TX,48
MS,28
MS,28
TN,47
MS,28
TX,48
OK,40
OK,40
TX,48
OK,40
OK,40
KS,20
OK,40
OK,40
KS,20
TX,48
OK,40
TX,48
TX,48
TX,48
TX,48
TX,48
OK,40
TX,48
TX,48
OK,40
AR,5
AR,5
AR,5
AR,5
MO,29
LA,22
FL,12
MO,29
LA,22
IA,19
AR,5
MO,29
LA,22
IA,19
IA,19
IA,19
IA,19
MS,28
TX,48
OK,40
OK,40
OK,40
OK,40
OK,40
OK,40
OK,40
OK,40
OK,40
KS,20
OK,40
KS,20
KS,20
TX,48
OK,40
OK,40
TX,48
TX,48
TX,48
MO,29
AR,5
TX,48
OK,40
AR,5
AR,5
AR,5
KY,21
OH,39
TX,48
OH,39
OH,39
OH,39
OH,39
TN,47
VA,51
TX,48
TX,48
MO,29
CT,9
CT,9
TX,48
TX,48
TX,48
TX,48
PA,42
NM,35
NM,35
CO,8
NM,35
NM,35
NM,35
TX,48
TX,48
TX,48
NE,31
WY,56
IA,19
IA,19
OK,40
OK,40
UT,49
OK,40
OK,40
TX,48
TX,48
KS,20
TX,48
IN,18
SD,46
SD,46
SD,46
MS,28
MT,30
IL,17
SD,46
IA,19
IN,18
MO,29
MO,29
OK,40
IL,17
TX,48
TX,48
MN,27
NE,31
IN,18
MO,29
KS,20
IL,17
KS,20
KS,20
MI,26
IN,18
MI,26
KS,20
MO,29
MI,26
IN,18
MI,26
MI,26
IN,18
IN,18
IN,18
IN,18
IN,18
IN,18
KY,21
PA,42
PA,42
PA,42
PA,42
TX,48
TX,48
TX,48
TX,48
TX,48
MO,29
TX,48
TX,48
TX,48
AR,5
MS,28
GA,13
CO,8
NE,31
NE,31
KS,20
OK,40
ID,16
ID,16
IA,19
FL,12
KS,20
KS,20
KS,20
PA,42
PA,42
SD,46
NE,31
SD,46
SD,46
KS,20
KS,20
TX,48
IN,18
OK,40
MI,26
KS,20
PA,42
AR,5
IN,18
NE,31
TX,48
ND,38
TX,48
KS,20
TX,48
KS,20
MN,27
IN,18
OK,40
KS,20
MO,29
KS,20
KS,20
MO,29
WA,53
NC,37
ND,38
NE,31
IN,18
NE,31
MN,27
SD,46
SD,46
SD,46
SD,46
SD,46
WI,55
MI,26
CO,8
IN,18
SD,46
IA,19
WI,55
WI,55
NE,31
NE,31
IN,18
KS,20
TX,48
FL,12
NC,37
MN,27
CA,6
OH,39
OH,39
PA,42
VA,51
IN,18
NC,37
OK,40
AR,5
NM,35
WI,55
TX,48
KS,20
KS,20
DE,10
IN,18
GA,13
PA,42
KS,20
MN,27
ND,38
TX,48
ME,23
FL,12
TX,48
OK,40
AR,5
MS,28
MT,30
TX,48
NY,36
MA,25
WV,54
MD,24
OK,40
SD,46
TX,48
AR,5
NE,31
IN,18
WY,56
IL,17
KS,20
KS,20
OK,40
OK,40
MS,28
GA,13
MT,30
TX,48
NE,31
CO,8
SD,46
PA,42
NE,31
WI,55
NH,33
NM,35
IN,18
SD,46
KY,21
AZ,4
KS,20
KS,20
KS,20
KS,20
KS,20
ND,38
CO,8
KS,20
KS,20
MI,26
FL,12
ME,23
OH,39
NE,31
VA,51
MN,27
MN,27
WI,55
WV,54
LA,22
WV,54
MA,25
GA,13
NC,37
GA,13
GA,13
NC,37
MO,29
FL,12
IA,19
KS,20
KS,20
LA,22
MI,26
NM,35
NE,31
MT,30
KS,20
LA,22
LA,22
AR,5
OK,40
OK,40
OH,39
TX,48
MO,29
MO,29
VA,51
OK,40
KS,20
FL,12
PA,42
NY,36
PA,42
PA,42
NC,37
OK,40
FL,12
FL,12
TX,48
TX,48
TX,48
OK,40
TX,48
OH,39
PA,42
TX,48
KS,20
IL,17
KS,20
IN,18
OH,39
TX,48
MI,26
TX,48
TX,48
OR,41
TX,48
OK,40
KS,20
NC,37
NC,37
AL,1
AL,1
GA,13
AL,1
GA,13
GA,13
GA,13
GA,13
GA,13
AL,1
AL,1
GA,13
GA,13
GA,13
MS,28
MS,28
MS,28
OK,40
FL,12
CA,6
TN,47
TN,47
AR,5
OK,40
OH,39
IN,18
OH,39
IN,18
KY,21
IL,17
TN,47
TN,47
TN,47
TN,47
IN,18
IN,18
IN,18
OH,39
OH,39
SC,45
MO,29
MO,29
MO,29
KY,21
NC,37
HI,15
TX,48
